#ChipID p1A p1B p1C p1D q1A q1B q1C q1D q1E q1F q1G q1H r1A r1B r1C r1D r1E
87 -0.02595935146 -1.373265019 0.05653232162 2.990593191 -2.245750806 -0.575770871 1 -0.1139622424 -6.028669905 2.234467596 0.999821379 -0.01890000416 -6.028669905 0.1139622424 -0.6181127258 -0.01890000416 -0.999821379
88 -0.02595935146 -1.373265019 0.05653232162 2.990593191 -2.245750806 -0.575770871 1 -0.1709433635 -9.043004858 2.234467596 0.999821379 -0.01890000416 -9.043004858 0.1709433635 -0.6181127258 -0.01890000416 -0.999821379
89 -0.02595935146 -1.373265019 0.05653232162 2.990593191 -2.245750806 -0.575770871 1 -0.2279244847 -12.05733981 2.234467596 0.999821379 -0.01890000416 -12.05733981 0.2279244847 -0.6181127258 -0.01890000416 -0.999821379
90 0.6641510516 -1.202262068 -1.446338169 2.618195836 -1.656991813 -1.621507604 1 -5.831281511 10.55592482 2.234467596 0.8753207155 0.4835428057 10.55592482 5.831281511 -0.6181127258 0.4835428057 -0.8753207155
91 0.6641510516 -1.202262068 -1.446338169 2.618195836 -1.656991813 -1.621507604 1 -4.373461133 7.916943615 2.234467596 0.8753207155 0.4835428057 7.916943615 4.373461133 -0.6181127258 0.4835428057 -0.8753207155
92 0.6641510516 -1.202262068 -1.446338169 2.618195836 -1.656991813 -1.621507604 1 -2.915640756 5.27796241 2.234467596 0.8753207155 0.4835428057 5.27796241 2.915640756 -0.6181127258 0.4835428057 -0.8753207155
93 0.6641510516 -1.202262068 -1.446338169 2.618195836 -1.656991813 -1.621507604 1 -1.457820378 2.638981205 2.234467596 0.8753207155 0.4835428057 2.638981205 1.457820378 -0.6181127258 0.4835428057 -0.8753207155
94 0.6641510516 -1.202262068 -1.446338169 2.618195836 -1.656991813 -1.621507604 1 0 0 2.234467596 0.8753207155 0.4835428057 0 0 -0.6181127258 0.4835428057 -0.8753207155
95 0.6641510516 -1.202262068 -1.446338169 2.618195836 -1.656991813 -1.621507604 1 1.457820378 -2.638981205 2.234467596 0.8753207155 0.4835428057 -2.638981205 -1.457820378 -0.6181127258 0.4835428057 -0.8753207155
96 0.6641510516 -1.202262068 -1.446338169 2.618195836 -1.656991813 -1.621507604 1 2.915640756 -5.27796241 2.234467596 0.8753207155 0.4835428057 -5.27796241 -2.915640756 -0.6181127258 0.4835428057 -0.8753207155
97 0.6641510516 -1.202262068 -1.446338169 2.618195836 -1.656991813 -1.621507604 1 4.373461133 -7.916943615 2.234467596 0.8753207155 0.4835428057 -7.916943615 -4.373461133 -0.6181127258 0.4835428057 -0.8753207155
98 0.6641510516 -1.202262068 -1.446338169 2.618195836 -1.656991813 -1.621507604 1 5.831281511 -10.55592482 2.234467596 0.8753207155 0.4835428057 -10.55592482 -5.831281511 -0.6181127258 0.4835428057 -0.8753207155
99 1.176302717 -0.7091139673 -2.561663515 1.544255022 -0.6242432021 -2.232762684 1 -10.32800034 6.226058299 2.234467596 0.5162785732 0.8564207114 6.226058299 10.32800034 -0.6181127258 0.8564207114 -0.5162785732
100 1.176302717 -0.7091139673 -2.561663515 1.544255022 -0.6242432021 -2.232762684 1 -7.746000252 4.669543724 2.234467596 0.5162785732 0.8564207114 4.669543724 7.746000252 -0.6181127258 0.8564207114 -0.5162785732
101 1.176302717 -0.7091139673 -2.561663515 1.544255022 -0.6242432021 -2.232762684 1 -5.164000168 3.11302915 2.234467596 0.5162785732 0.8564207114 3.11302915 5.164000168 -0.6181127258 0.8564207114 -0.5162785732
102 1.176302717 -0.7091139673 -2.561663515 1.544255022 -0.6242432021 -2.232762684 1 -2.582000084 1.556514575 2.234467596 0.5162785732 0.8564207114 1.556514575 2.582000084 -0.6181127258 0.8564207114 -0.5162785732
103 1.176302717 -0.7091139673 -2.561663515 1.544255022 -0.6242432021 -2.232762684 1 0 0 2.234467596 0.5162785732 0.8564207114 0 0 -0.6181127258 0.8564207114 -0.5162785732
104 1.176302717 -0.7091139673 -2.561663515 1.544255022 -0.6242432021 -2.232762684 1 2.582000084 -1.556514575 2.234467596 0.5162785732 0.8564207114 -1.556514575 -2.582000084 -0.6181127258 0.8564207114 -0.5162785732
105 1.176302717 -0.7091139673 -2.561663515 1.544255022 -0.6242432021 -2.232762684 1 5.164000168 -3.11302915 2.234467596 0.5162785732 0.8564207114 -3.11302915 -5.164000168 -0.6181127258 0.8564207114 -0.5162785732
106 1.176302717 -0.7091139673 -2.561663515 1.544255022 -0.6242432021 -2.232762684 1 7.746000252 -4.669543724 2.234467596 0.5162785732 0.8564207114 -4.669543724 -7.746000252 -0.6181127258 0.8564207114 -0.5162785732
107 1.176302717 -0.7091139673 -2.561663515 1.544255022 -0.6242432021 -2.232762684 1 10.32800034 -6.226058299 2.234467596 0.5162785732 0.8564207114 -6.226058299 -10.32800034 -0.6181127258 0.8564207114 -0.5162785732
108 1.366564748 -0.1379546632 -2.976001845 0.3004272815 0.5790877721 -3.073248169 1 -11.99851108 1.211249271 2.999544002 0.100439478 0.9949431699 1.211249271 11.99851108 -0.8848348654 0.9949431699 -0.100439478
109 1.366564748 -0.1379546632 -2.976001845 0.3004272815 0.5790877721 -3.073248169 1 -8.998883308 0.9084369532 2.999544002 0.100439478 0.9949431699 0.9084369532 8.998883308 -0.8848348654 0.9949431699 -0.100439478
110 1.366564748 -0.1379546632 -2.976001845 0.3004272815 0.5790877721 -3.073248169 1 -5.999255539 0.6056246354 2.999544002 0.100439478 0.9949431699 0.6056246354 5.999255539 -0.8848348654 0.9949431699 -0.100439478
111 1.366564748 -0.1379546632 -2.976001845 0.3004272815 0.5790877721 -3.073248169 1 -2.999627769 0.3028123177 2.999544002 0.100439478 0.9949431699 0.3028123177 2.999627769 -0.8848348654 0.9949431699 -0.100439478
112 1.366564748 -0.1379546632 -2.976001845 0.3004272815 0.5790877721 -3.073248169 1 0 0 2.999544002 0.100439478 0.9949431699 0 0 -0.8848348654 0.9949431699 -0.100439478
113 1.366564748 -0.1379546632 -2.976001845 0.3004272815 0.5790877721 -3.073248169 1 2.999627769 -0.3028123177 2.999544002 0.100439478 0.9949431699 -0.3028123177 -2.999627769 -0.8848348654 0.9949431699 -0.100439478
114 1.366564748 -0.1379546632 -2.976001845 0.3004272815 0.5790877721 -3.073248169 1 5.999255539 -0.6056246354 2.999544002 0.100439478 0.9949431699 -0.6056246354 -5.999255539 -0.8848348654 0.9949431699 -0.100439478
115 1.366564748 -0.1379546632 -2.976001845 0.3004272815 0.5790877721 -3.073248169 1 8.998883308 -0.9084369532 2.999544002 0.100439478 0.9949431699 -0.9084369532 -8.998883308 -0.8848348654 0.9949431699 -0.100439478
116 1.366564748 -0.1379546632 -2.976001845 0.3004272815 0.5790877721 -3.073248169 1 11.99851108 -1.211249271 2.999544002 0.100439478 0.9949431699 -1.211249271 -11.99851108 -0.8848348654 0.9949431699 -0.100439478
117 1.315334165 0.3955081986 -2.864435737 -0.8613079845 1.711088498 -2.617703786 1 -11.54870383 -3.472582992 2.999544002 -0.2879542893 0.9576441548 -3.472582992 11.54870383 -0.8848348654 0.9576441548 0.2879542893
118 1.315334165 0.3955081986 -2.864435737 -0.8613079845 1.711088498 -2.617703786 1 -8.661527875 -2.604437244 2.999544002 -0.2879542893 0.9576441548 -2.604437244 8.661527875 -0.8848348654 0.9576441548 0.2879542893
119 1.315334165 0.3955081986 -2.864435737 -0.8613079845 1.711088498 -2.617703786 1 -5.774351917 -1.736291496 2.999544002 -0.2879542893 0.9576441548 -1.736291496 5.774351917 -0.8848348654 0.9576441548 0.2879542893
120 1.315334165 0.3955081986 -2.864435737 -0.8613079845 1.711088498 -2.617703786 1 -2.887175958 -0.8681457481 2.999544002 -0.2879542893 0.9576441548 -0.8681457481 2.887175958 -0.8848348654 0.9576441548 0.2879542893
121 1.315334165 0.3955081986 -2.864435737 -0.8613079845 1.711088498 -2.617703786 1 0 0 2.999544002 -0.2879542893 0.9576441548 0 0 -0.8848348654 0.9576441548 0.2879542893
